Name,nSyll,nPause,Duration,PhonationDuration,SpeechRate,ArticulationRate,SyllableDuration
Recording_Participant_P1,190,35,225,41.26,0.84,4.6,0.217
Recording_Participant_P2,151,30,225,38.24,0.67,3.95,0.253
