Name,Duration,PitchFloor,PitchCeiling,PitchMean,PitchSD,PitchMin,PitchMax,IntensityMean,IntensitySD,IntensityMin,IntensityMax
Recording_Participant_P1,225,129,543,205.9205937,51.69930503,124.1913943,542.5729307,66.9976979,22.96464292,6.539979016,84.78102189
Recording_Participant_P2,225,74,303,118.4623408,36.41836459,74.13607319,292.0835353,63.75702252,21.13676216,7.473270372,81.41678748
